gene,logFC,pvals,adj_pvals,cluster
NRDC,1.4762166,0.0020980717560100466,0.013087488333333267,7
RAMAC,3.555305,0.0021488449401481174,0.013364436888097164,7
TPST2,1.7653904,0.002122217515213143,0.013215985458181215,7
SUPT20H,1.8417814,0.0021428557615156543,0.013331770636949384,7
HERC5,2.7487936,0.0021888602767018966,0.013575547807111375,7
INPP4B,2.2518294,0.0021835620564482324,0.01355061116183808,7
NUCB1,1.4573787,0.00217985597784333,0.013534718502932825,7
PSMA5,1.0920511,0.0021962400154325106,0.013616282136344148,7
PTGER4,2.7950044,0.0022528120845578727,0.013940082692881222,7
MX2,2.1028018,0.002253850365638232,0.013942529530407956,7
ELMO1,2.581585,0.002280290075995197,0.014098287454185234,7
VASP,1.3437043,0.0022530392140398055,0.013940082692881222,7
DHX15,1.4126393,0.0022674797231193346,0.01402425546618949,7
CNTRL,2.4614222,0.002307291751054055,0.014241603353350028,7
USP15,1.8456757,0.002312533704711635,0.014266082948267967,7
PIK3IP1,2.1702602,0.0023245806024348365,0.01433249227688729,7
GET4,4.214538,0.0024024739153658946,0.014734468392674335,7
SH2D3C,3.559261,0.0024463322287791274,0.014981272464027882,7
SF3B1,1.0772858,0.002439923700811109,0.014947485086558064,7
LINC00861,5.4339232,0.002510764750899999,0.015331068725639335,7
CD70,4.6935315,0.0025190217782371195,0.015374367186794163,7
MYD88,2.2253466,0.0025195990160961357,0.015374367186794163,7
IFNG,3.6274529,0.0025597651693190513,0.01558204783015069,7
RETREG3,2.0676367,0.002548803047080993,0.01552377029274443,7
SEL1L3,2.947495,0.002565747971869347,0.015612799841159247,7
CTDSP1,1.8754262,0.002629811714899172,0.0159412154944319,7
MAPK8IP3,2.9227676,0.0026802864275098956,0.016171881105434324,7
DHX30,1.5813483,0.002682057046531303,0.01617965384850835,7
STMN3,2.5365453,0.002716937511392723,0.016372404072875192,7
RNF10,1.3247075,0.002699325587122392,0.01627797186581664,7
KCNAB2,2.9183674,0.00277475848895883,0.01667589580329119,7
HOPX,2.4416559,0.002790795849397268,0.016766269673049214,7
API5,1.7987481,0.0028067649007269863,0.01685013451499621,7
OGT,1.6071157,0.0028205395742607327,0.016920715052813312,7
CALHM2,2.3858676,0.0028397742194408264,0.01703001378406307,7
ATP8A1,3.7547586,0.0028818164062447776,0.017251294678182417,7
CD47,1.075856,0.002809831831701152,0.01686251019271575,7
LSM8,1.0471106,0.002809296273543789,0.016862313226723734,7
NCBP2AS2,4.2091465,0.002897895723069766,0.017325903823080753,7
PPWD1,2.3488166,0.002883244757237534,0.017256765239561767,7
ILRUN,4.0524893,0.002906843195272729,0.01736701596235173,7
CDS2,1.8285124,0.002912650565980988,0.0173924181295297,7
EMD,1.1939706,0.0028902506907996983,0.017289441487446527,7
CCDC88C,2.2735887,0.002973400003388007,0.01772361995977202,7
PTPN22,3.1755357,0.0030103836064746385,0.017928058903646984,7
UQCRHL,2.2050643,0.0030131675023663384,0.017935164365016746,7
DARS1,3.573299,0.003035401317091039,0.018054689763530862,7
N4BP2L1,2.3040056,0.0030345814829693778,0.018054689763530862,7
SAMHD1,1.7218627,0.0030109078835316204,0.017928058903646984,7
REST,1.4694128,0.003025768151670791,0.018006971180835697,7
THAP1,2.2653522,0.003054695767666966,0.018156574648824687,7
EPB41,2.0900176,0.0030678909160104435,0.018225315128215777,7
MLLT6,1.5221251,0.003052757656057229,0.01815112185382671,7
FBXO7,1.3697289,0.00305646550699283,0.018163874835231485,7
SAMSN1,2.1732535,0.0031062325128531497,0.018420464058275722,7
LTO1,4.9602213,0.003181808123574673,0.018825370660225455,7
PPP2R5C,1.5644821,0.0031792670781049218,0.01881696612784466,7
ATP2B4,1.8823828,0.0032249995488338643,0.019054026751353995,7
SAMD3,5.6367173,0.0032896439311219786,0.019371128352135236,7
RUNX3,2.1055617,0.003254100839176384,0.019195532227719855,7
IFI44L,1.6466424,0.0032354106664501735,0.01909199668603189,7
SLC9A3R1,1.0097758,0.0032353729856475426,0.01909199668603189,7
GOLGA8B,2.4577122,0.0033248781971662324,0.019565831989641833,7
RASGRP1,2.4912848,0.0033374516478460233,0.01963196522630717,7
APOBEC3C,2.2621412,0.0033669721849042323,0.019764020660460773,7
LYPLA2,1.4365526,0.003350150960955029,0.019687062722373982,7
MCRS1,1.6787395,0.0033943357889957802,0.019900265110768655,7
OAS1,1.9950342,0.0034380132245465564,0.020124677410910306,7
TIAL1,1.2912779,0.0034599075162370344,0.020237894541001864,7
SF3B4,1.3295655,0.003482930648092124,0.02035563283980797,7
KPNB1,1.0900769,0.003474240098292105,0.020308380469992244,7
SLC7A5,1.7660939,0.0035115281733032106,0.020515618613614874,7
CERT1,4.5202374,0.0036000765421860133,0.020978138864048135,7
DOCK8,2.3120956,0.0035882010537060345,0.02091257194480523,7
PYHIN1,3.6813009,0.0036689501580389,0.02133869555241594,7
OTUB1,1.3068081,0.00361759585748519,0.021072904247292596,7
C19orf12,2.5882907,0.003739857418592767,0.021689305080448657,7
NUP210,2.1290436,0.0037947981825895752,0.021975367030772953,7
