names	scores	logFC	pvals	adj_pvals	cluster
ARL6IP5	8.054987	1.4658691	1.6802058807529002e-09	4.335060418948694e-08	13
KDELR1	8.00289	1.6355195	2.867210084698162e-09	7.128917231346261e-08	13
CALM2	7.9822307	1.0280846	1.2556834552709264e-09	3.3162896671844204e-08	13
ISOC2	7.9651284	2.124252	4.9316991233066e-09	1.1773246996073074e-07	13
YWHAQ	7.9255466	1.6006279	3.864744344508681e-09	9.420595207788203e-08	13
PSMD2	7.8938913	2.1315613	5.9162539391911934e-09	1.3896153597647886e-07	13
ATP5PD	7.893624	1.7989465	5.1264595932660765e-09	1.217751991627036e-07	13
OCIAD2	7.883759	1.8584119	5.093177121142185e-09	1.2107034289172927e-07	13
MRPS15	7.879427	1.9336895	5.722726486747248e-09	1.3460446640391968e-07	13
VIM	7.857875	2.0179236	2.538212767863889e-09	6.367553810540217e-08	13
NDUFB7	7.827609	1.4490548	4.929409121149018e-09	1.1773246996073074e-07	13
NDUFB3	7.802975	1.699056	5.553693305631746e-09	1.3108826682913048e-07	13
COX5B	7.795299	1.0916727	2.9834009034360414e-09	7.395879504962916e-08	13
S100A11	7.770083	1.5011423	5.3809154769203985e-09	1.2718906695658005e-07	13
MDH1	7.69074	2.0392997	9.847033806242618e-09	2.2452709782133488e-07	13
HNRNPA1	7.664866	1.0324882	4.0757082249173006e-09	9.884550222122284e-08	13
COMT	7.664099	2.0262272	1.0553678011952376e-08	2.396620949213911e-07	13
LAMTOR5	7.6114993	1.2733	6.6990579719695204e-09	1.5571247639489236e-07	13
REXO2	7.60917	2.3180346	1.4915081964797438e-08	3.2782881007946976e-07	13
TCP1	7.5797825	1.6587088	1.0482613770163216e-08	2.3837108370511487e-07	13
ACTL6A	7.5516047	2.8938622	1.974683366031195e-08	4.237546690982234e-07	13
CCT4	7.51698	1.9156814	1.6184112109202436e-08	3.529462316350838e-07	13
ODC1	7.480204	3.0733168	2.3918396648657778e-08	5.04875356823556e-07	13
VDAC2	7.465207	1.5993552	1.508063030994052e-08	3.312504395715226e-07	13
FABP5	7.4442563	2.8635316	2.361177744240538e-08	4.989917713294166e-07	13
NDUFA4L2	7.44195	4.574121	3.0650236717391996e-08	6.357696906234044e-07	13
PSMA5	7.4187016	1.7593706	1.786287002526431e-08	3.872905775807306e-07	13
VCAN	7.4130077	2.7736285	2.004242751823757e-08	4.290000391762644e-07	13
PGRMC1	7.4043436	1.6193271	1.567688447503083e-08	3.427759988116095e-07	13
RBP1	7.3860264	2.672078	2.758242146869178e-08	5.760535482449508e-07	13
CXADR	7.3835793	2.4968603	2.6171244885757432e-08	5.486310779457437e-07	13
S100A6	7.354823	1.6381301	1.1747914490671406e-08	2.642768611211332e-07	13
RPL22L1	7.3329115	2.3152738	3.245307682392585e-08	6.706769252934671e-07	13
FXR1	7.2935953	1.9926538	2.916452600376317e-08	6.064521802183636e-07	13
PTS	7.2358747	2.131234	3.659553259002183e-08	7.470789766292892e-07	13
CCSER2	7.185495	2.8145885	5.3293854415998944e-08	1.0564593209024945e-06	13
TMEM213	7.078151	4.991379	8.26218681704005e-08	1.5835543316019446e-06	13
NPM1	7.0130754	1.2070377	4.5262606344535316e-08	9.085296704979408e-07	13
NCBP2	7.003319	2.0384438	7.038134435968832e-08	1.3677060667255538e-06	13
HSPD1	6.9478154	1.6855146	7.042336861782089e-08	1.3677302876724553e-06	13
OLA1	6.9414177	1.9240702	7.959805312460378e-08	1.5290941007172595e-06	13
SUMO1	6.938428	1.3135505	5.771420282933892e-08	1.1387012218228568e-06	13
HINT2	6.921345	1.7773664	7.747290918481552e-08	1.4908312375030966e-06	13
RAD23A	6.918221	1.8203131	8.885536169695199e-08	1.6847358319262108e-06	13
SLC25A3	6.9174137	1.061399	3.963048357388745e-08	8.022003920046825e-07	13
SEPT7	6.890255	1.3299539	5.18987290718877e-08	1.0310724432179116e-06	13
UTP11	6.8467135	3.040301	1.377644401074506e-07	2.5305350961905807e-06	13
CLTA	6.8423977	1.2262849	7.216636589836513e-08	1.3991514905185346e-06	13
SAP18	6.831628	1.006525	5.163954136553893e-08	1.0266993817080861e-06	13
CFAP298	6.8092504	2.414849	1.3677801260066063e-07	2.5151706801747577e-06	13
RBM17	6.803141	1.8857797	1.212981459081325e-07	2.247768570113079e-06	13
POLR1D	6.7995877	1.9500337	1.3118624213895067e-07	2.417647114056343e-06	13
SSR2	6.7979903	1.1104921	6.839237936780925e-08	1.3336911606835407e-06	13
THUMPD3-AS1	6.789769	2.002595	1.300533299456868e-07	2.3980861680639258e-06	13
CDK4	6.787385	2.1504755	1.4375612458087884e-07	2.6362625339350778e-06	13
MDFI	6.7496147	3.18832	1.8219964218746785e-07	3.2750043936815965e-06	13
EPRS	6.742121	2.4263263	1.640796335936079e-07	2.9715955671507576e-06	13
HEY1	6.7353854	5.372077	2.1064118255556598e-07	3.738156563013883e-06	13
CCT6A	6.7288995	1.9100277	1.5408894624395508e-07	2.804285049358924e-06	13
GHITM	6.6767306	1.7082856	1.6751064978525205e-07	3.030461005634919e-06	13
BABAM1	6.6766167	1.9817871	1.745781939852651e-07	3.1447514524488597e-06	13
PAM	6.6706023	2.8871658	2.153196614167992e-07	3.8111011945017744e-06	13
TACSTD2	6.6336517	1.5328192	9.82223329698136e-08	1.8456444090423072e-06	13
H2AFZ	6.6160254	1.4390752	1.4578913138682664e-07	2.6691666243698432e-06	13
RPS10	6.6127324	1.0405687	1.0483196012724379e-07	1.962147753698596e-06	13
RPL39L	6.607049	2.2845619	2.1707061984305506e-07	3.8400662764535395e-06	13
MRPS6	6.6046033	1.5738822	1.7156521705698653e-07	3.097130756355428e-06	13
DCUN1D5	6.5642467	2.0873013	2.5018536462633683e-07	4.370555893193731e-06	13
APEX1	6.5521693	1.4359406	2.0389814631945934e-07	3.631942499044602e-06	13
CCT3	6.55142	1.4169058	2.0950073945060546e-07	3.719885813611836e-06	13
PDCD6	6.5482583	1.5236127	2.2514615851727957e-07	3.959951391100196e-06	13
ATP5F1A	6.530961	1.3808109	1.9350314314922174e-07	3.4559578936997056e-06	13
NPW	6.5206337	3.6807866	3.4114237386298123e-07	5.841426606919157e-06	13
PRPF31	6.5098133	2.3764653	3.227745851492762e-07	5.546199979760181e-06	13
SMAGP	6.4995017	2.8695276	3.487061988010419e-07	5.958204082519483e-06	13
STMP1	6.4662337	1.4620744	2.6744761177269833e-07	4.647906915268432e-06	13
HMGB1	6.4606833	1.114061	2.279243198966637e-07	4.006713633990564e-06	13
PDCD5	6.453849	1.5086364	2.807265506536137e-07	4.866071956316722e-06	13
TSTA3	6.4393415	2.0437548	3.643509677017411e-07	6.206549419849719e-06	13
KRT6B	6.4184623	3.276437	4.2862851376348437e-07	7.184722129006012e-06	13
NECTIN4	6.4100976	2.2446015	3.966025479440677e-07	6.682907018103408e-06	13
CDC123	6.3882456	2.6339643	4.7475886850485543e-07	7.859766637967105e-06	13
SH3BGR	6.3747363	4.247396	5.441102356590035e-07	8.861627881967026e-06	13
SLC9A3R1	6.3665166	1.6941979	3.719026045745399e-07	6.315941903815009e-06	13
EBLN3P	6.3291235	1.9998897	4.716386083781928e-07	7.811965710426155e-06	13
SNRPD3	6.326991	1.3188792	3.516762886508638e-07	6.002836843581996e-06	13
ASNA1	6.318933	1.9883659	4.984048562650032e-07	8.190591515915958e-06	13
SF3B5	6.280164	1.2575967	4.1738097848924067e-07	7.000867686582048e-06	13
CBR1	6.2653475	2.724527	6.728683256136872e-07	1.0762363619174384e-05	13
LSM3	6.238014	1.1268623	3.8784243447757565e-07	6.553862687893761e-06	13
APLP2	6.2346106	1.2897986	4.5028994595672213e-07	7.506548249172176e-06	13
IDH2	6.232625	1.3969322	4.5804910404744415e-07	7.613193755627019e-06	13
TEAD2	6.2299824	3.233943	7.779195875781025e-07	1.2313450159017053e-05	13
PHF6	6.223631	2.8130567	7.402738008592956e-07	1.175083935381999e-05	13
SLC25A6	6.156529	1.005961	5.193284535292985e-07	8.501120380588678e-06	13
EBPL	6.137761	1.9610245	8.536347877528981e-07	1.3423236950782913e-05	13
SCPEP1	6.1289253	2.052824	8.325026285086111e-07	1.3109375898031607e-05	13
ARF1	6.1226287	1.2210536	6.985838153541667e-07	1.1157714167044812e-05	13
LAGE3	6.1099553	1.5486305	7.517449932381239e-07	1.1910382058667885e-05	13
FDPS	6.075012	1.8558441	9.849505677197265e-07	1.5224067738196934e-05	13
SIX1	6.064087	3.574839	1.2564728557348352e-06	1.906939187972946e-05	13
PRDX6	6.0371695	1.1394408	8.036484960932817e-07	1.2696737733144022e-05	13
MYO10	6.034485	2.6674511	1.247480324050785e-06	1.8941483725209316e-05	13
MPLKIP	6.0229993	1.3214484	8.546936386132559e-07	1.3433589190593822e-05	13
HNRNPA2B1	6.0158143	1.2732928	1.0086320254448869e-06	1.5561419855311385e-05	13
SDHC	5.9994273	1.2142825	8.874973952821202e-07	1.3897082229298597e-05	13
PKP1	5.998396	3.1333072	1.3916440922542981e-06	2.0931450447668796e-05	13
EIF3L	5.9831133	1.4138367	1.1095528732333038e-06	1.6970138130924872e-05	13
PPIC	5.9633656	2.2617548	1.4561612329535455e-06	2.177490143312299e-05	13
EIF2D	5.939105	2.7155707	1.63228824007902e-06	2.424649240942888e-05	13
FKBP8	5.9191713	1.285531	1.147853223703187e-06	1.75239622103908e-05	13
HSBP1	5.915021	1.1557788	1.181376623296054e-06	1.8002977429338003e-05	13
DDX39A	5.9115443	2.4172065	1.7504163379579992e-06	2.5818256108816737e-05	13
