cluster,gene,logFC,pvals,adj_pvals
2,NTAN1,1.0501082,0.007434550610568044,0.020502981730985387
2,GNGT2,3.8339179,0.00775449343496317,0.021288157276325517
2,DTX3L,1.1996506,0.007733653256976423,0.02124703434210543
2,DOK1,1.7968086,0.007846635246551934,0.021492485912029676
2,ARHGEF40,1.8484534,0.007853769368805111,0.021505328904581608
2,ITSN2,1.104971,0.007847893432543962,0.021492485912029676
2,MOB3B,2.3554718,0.00795994134718279,0.021763175987991316
2,SLC12A9,1.526806,0.008032770725510662,0.021945747542024382
2,SLC46A3,2.141058,0.00808523532111784,0.022065802569392216
2,TOR4A,3.0267432,0.008119301839416924,0.022138776239938412
2,LILRA2,4.5452633,0.008152835818641282,0.022213505919812193
2,ATXN1,1.0348415,0.008104198953493206,0.022104245325003213
2,TBC1D1,1.3502796,0.008179582883959056,0.022269024479019957
2,PLBD2,1.5023296,0.008301928773219011,0.022551935092483294
2,SMPDL3A,1.5371335,0.00837221279928392,0.0227156266146714
2,APOBEC3G,1.2320894,0.0084080640271534,0.022802659578128315
2,RPE,1.3089508,0.008585620357445714,0.023211266251963975
2,BEST1,1.6986377,0.00862469293087378,0.02330299728095827
2,APOL6,1.1381252,0.008602047397489527,0.02324874208652045
2,MAP3K3,1.9021926,0.008691459304741316,0.0234519325419836
2,EPS15,1.1513942,0.008738611715012841,0.023561626440285255
2,FMNL3,1.8688513,0.008777017114063444,0.02363002958957791
2,UNC13D,2.111141,0.008933626309480977,0.024005313387483202
2,SLC11A2,1.225413,0.008940331789779148,0.024019770913491417
2,GBA,1.2979428,0.009013248491033403,0.02418699561761103
2,TMC6,1.1824564,0.009001603925255211,0.024162901577536092
2,SHKBP1,1.1958866,0.00907556687983683,0.024325417836877455
2,KCNJ5,26.420282,0.009354675488310465,0.025003273750605102
2,CX3CR1,4.4614487,0.009396067194953919,0.025102801774934368
2,KMO,2.6245344,0.009426592134988079,0.025169514748995276
2,ACSL5,1.9225726,0.009627140942811488,0.025617877970453083
2,N4BP1,1.2422025,0.009612224705489208,0.025593536609342372
2,CARD8,1.4272227,0.009625327449983257,0.025617766527144196
2,IQGAP2,1.249933,0.009650591637300655,0.025665533246676787
2,SCN1B,3.3195815,0.009758588545710295,0.025914728181671627
2,TRPM2,2.3000524,0.009787485191625008,0.02598004745476446
2,SETX,1.176544,0.009747865913412193,0.025890046214274404
