group	gene	logFC	pvals	adj_pvals
28	HS6ST2	2.553693	6.38516226947256e-17	4.693113890564696e-16
28	PDE1A	2.5714478	6.500059915387498e-17	4.776096251807153e-16
28	PDZD2	1.35438	6.863050806787142e-17	5.038170231612282e-16
28	VPS26A	1.0196831	7.221907681900214e-17	5.293483482317113e-16
28	SERPINI1	2.0246863	8.176978704371658e-17	5.982526756575617e-16
28	EFNA5	1.1099588	8.097818191982874e-17	5.926423430160785e-16
28	KANK2	1.4180624	8.392294158823585e-17	6.13818040968146e-16
28	TRIM68	2.611261	8.606623630714693e-17	6.287251599749646e-16
28	HRNR	1.9321792	8.522890570167942e-17	6.227985755169773e-16
28	BBS1	2.0815923	8.628992595682932e-17	6.301667661403012e-16
28	NDRG3	1.3663359	9.110479456321104e-17	6.647203696059543e-16
28	CNTN4	3.3384998	9.730530724131642e-17	7.086635302346422e-16
28	USP40	1.8477715	9.692921598797579e-17	7.061395244545895e-16
28	ARL8B	1.2042379	9.667746132987027e-17	7.045200617387288e-16
28	DOK5	2.2538483	1.0068112307522172e-16	7.32802927751089e-16
28	GPS2	1.3469192	1.102113145243834e-16	8.009492584259124e-16
28	ARGFX	1.3957425	1.1732665154827695e-16	8.518826730662236e-16
28	PPIL2	2.0352333	1.2238392891736856e-16	8.883327550581801e-16
28	RRP7B	1.8470858	1.2457972539053503e-16	9.037225635927894e-16
28	L1TD1	1.0943264	1.1039603592563519e-16	8.020479924767365e-16
28	LINC00339	2.5560546	1.2795054381562666e-16	9.276123541795522e-16
28	OSBPL9	1.3177292	1.3199777470856232e-16	9.563740617099923e-16
28	WDR19	2.2865558	1.4230714099873734e-16	1.0285765763876705e-15
28	SLC16A4	1.2473943	1.4187019696219234e-16	1.0257283859566973e-15
28	MRPL38	1.6111736	1.4473643860112904e-16	1.0455032926678354e-15
28	PCDH11X	2.5449665	1.4799110063158944e-16	1.0680456106836827e-15
