gene	logFC	pvals	adj_pvals	cluster
SNORA48	2.145262	0.00010934211565017063	0.00023214886549930073	18
OR2A7	2.2579005	0.00011968386547147382	0.0002535675115921056	18
CALCA	4.2528944	0.00013307554946476226	0.00028134365637370455	18
ZNF204P	2.9669147	0.0001339148019061948	0.0002828190114175181	18
VTRNA2-1	4.8480515	0.00014109047789572432	0.00029765923606692895	18
SERPINA3	5.705405	0.00014126553999062986	0.00029771452052819783	18
HIST1H2BG	2.3594637	0.00015253215668654252	0.00032078266390440067	18
OCLM	1.3337115	0.00018207415650316072	0.0003805102539251008	18
TREX2	3.0774856	0.0002578319347321773	0.0005349210264153056	18
TRIM34	1.6293485	0.0003042014344859722	0.0006278667378451439	18
MFSD2A	2.2759476	0.0003283951675243444	0.0006750157605844695	18
ZNF337	1.4332591	0.00036166455296157164	0.0007426376857527138	18
SNORD80	1.8284891	0.00044237474285513124	0.0009018853065344164	18
ZNF211	1.3535566	0.0004509086080165304	0.0009183474705020986	18
CD24	1.4643425	0.00046639935486114464	0.0009489305287103655	18
