names	scores	logFC	pvals	adj_pvals	cluster
CSF1R	8.878649	6.5855026	4.6146899283182985e-14	5.3789524558789e-13	2
AP1S2	8.860441	3.3888242	3.989731065213097e-14	4.709922136090221e-13	2
HCLS1	8.811446	3.253862	4.2152485752568914e-14	4.960300473112807e-13	2
EVI2B	8.789924	4.6846585	6.368986184739e-14	7.26339628166994e-13	2
DAB2	8.768442	3.4198835	6.175732958133508e-14	7.086749465932706e-13	2
TMEM176B	8.672457	2.9252164	7.921540687406326e-14	8.869725103020114e-13	2
LSP1	8.671192	2.8260088	6.683631652438683e-14	7.598775063311057e-13	2
SLCO2B1	8.391722	7.8704624	5.071855853680678e-13	5.121032764025142e-12	2
GMFG	8.346155	2.7535124	3.5010404912718895e-13	3.603438611490148e-12	2
FABP5	8.338427	2.7261727	4.0468141983155976e-13	4.1306570339160595e-12	2
NCF2	8.319605	5.7593417	6.854779270431323e-13	6.827064529445752e-12	2
MARCH1	8.269656	6.1055675	8.883545803310087e-13	8.753253798194872e-12	2
CD37	8.223255	2.922787	6.673334901378541e-13	6.696113832901181e-12	2
C5AR1	8.215745	7.3201485	1.1831740159028722e-12	1.1535166197258873e-11	2
ABCA1	8.171151	4.1466217	1.3195998893697554e-12	1.2764192647176038e-11	2
IL4I1	8.155365	6.060186	1.5530730748676684e-12	1.4905467562691e-11	2
RASSF4	8.141629	4.222326	1.5354329432846006e-12	1.4774543555824478e-11	2
IGSF6	8.098405	6.169833	2.046036027960733e-12	1.9460815475391143e-11	2
CD163	8.085068	7.393303	2.2208382320349944e-12	2.1041018634280267e-11	2
IL1B	8.076524	8.102984	2.324960754783189e-12	2.1859363839500977e-11	2
DSE	8.031792	3.7539475	2.4962480279758215e-12	2.3410244830890002e-11	2
LGMN	7.9429264	3.130763	3.684352411076387e-12	3.403420539731812e-11	2
FCGR1A	7.9255977	7.6740437	4.800890396326367e-12	4.3692832547847115e-11	2
SAMSN1	7.9232836	3.5940046	3.7813995893135105e-12	3.484356978182898e-11	2
LY86	7.817444	6.465252	7.906459793327436e-12	7.022684840467519e-11	2
NR4A2	7.8132133	2.3315115	5.269150398456888e-12	4.783663568132236e-11	2
PLIN2	7.808132	2.8373735	6.34889788944122e-12	5.693975170263424e-11	2
GLIPR1	7.7913675	2.694289	6.052172460346125e-12	5.441065022135993e-11	2
