names	scores	logFC	pvals	adj_pvals	cluster
PTMS	46.43566	1.8712889	2.8615663492177792e-254	4.815845304521502e-253	46
CHMP4B	46.42158	1.6228908	5.23291785370959e-255	8.837728989490098e-254	46
ING4	46.319687	3.2930586	1.0864844350120056e-251	1.808524785843061e-250	46
POLR2J3	46.081184	4.3736916	8.320338139866614e-250	1.3801803241803467e-248	46
ACTG1	45.9535	1.0790038	5.3927661929493795e-253	9.039418834468522e-252	46
CDK4	45.711163	1.932479	2.558569577399777e-249	4.223276682852653e-248	46
H3F3B	45.70067	1.0892192	6.1129287605383625e-255	1.0313568589397244e-253	46
SIX1	45.68838	3.818937	2.262351720371711e-247	3.725161465536945e-246	46
HN1	45.258877	6.228968	2.8179798847828873e-244	4.5994094070804295e-243	46
SREBF1	45.118988	3.1320019	5.5104026499515e-244	8.980778196405407e-243	46
TMEM14C	44.9757	1.5018868	3.667542158219122e-246	6.02119586533664e-245	46
TCP1	44.79107	1.7652868	1.2259089296698381e-243	1.9969990971372534e-242	46
LPCAT3	44.75961	3.3745105	1.599027932220915e-241	2.5972395096669107e-240	46
MYADM	44.601032	2.7087927	6.305141935958277e-241	1.0231290066472014e-239	46
WBSCR22	44.59402	6.632915	6.252260275119124e-240	1.0082070283065892e-238	46
EIF3I	44.59218	1.5974492	1.2282445549328524e-242	1.9988622327512278e-241	46
ASB8	44.558475	3.1248953	2.235557423775427e-240	3.610150772790159e-239	46
AHCY	44.54568	2.5866618	1.4140863248991892e-240	2.2879821236586445e-239	46
MT1E	44.272182	2.567368	3.271165450508525e-239	5.249672745239542e-238	46
PCSK1N	44.251083	4.320066	5.6774343318315716e-238	9.072264169793366e-237	46
FAM134A	44.140842	7.285315	5.783780009459215e-237	9.194017312666898e-236	46
SPDEF	44.118607	2.3258104	1.9387880856140295e-238	3.102523434140275e-237	46
P4HB	43.880886	1.4701258	1.8357381602307835e-238	2.939021175766144e-237	46
LGALS3BP	43.757336	2.246239	4.519565031065916e-236	7.137040052117791e-235	46
EIF4A2	43.692787	1.2803894	9.773091369356148e-238	1.558722099950426e-236	46
NAPA	43.675385	2.1384463	1.9593318771607614e-235	3.0810103371706096e-234	46
ATP6AP2	43.530582	1.6957705	2.481896412100236e-235	3.9009038218488297e-234	46
C6orf48	43.475597	1.6780103	1.8045627062801927e-235	2.838969874828515e-234	46
PA2G4	43.42821	1.5355275	5.0563875630365866e-235	7.939901463099727e-234	46
USMG5	43.419888	5.035907	1.5364034230902487e-232	2.3802543747745972e-231	46
WASH1	43.3296	7.6847854	1.1478009784004352e-231	1.7700410398404136e-230	46
C17orf58	43.292694	3.0751162	4.301604086403149e-232	6.651918057263624e-231	46
SNRPB	43.255558	1.3080589	9.437103993958802e-235	1.4777306492127554e-233	46
LINC01420	43.09595	6.4539084	3.5497767807699283e-230	5.449110434956712e-229	46
ATP5G1	43.048374	5.856923	6.4787841989057355e-230	9.927131147350265e-229	46
GLRX5	43.01314	2.0905912	3.5597998499803835e-231	5.47702966826569e-230	46
UNC93B1	42.996075	3.0846055	3.8314289309789934e-230	5.878772084810907e-229	46
DHRS2	42.91905	4.640644	3.2144759370574103e-229	4.911924255345905e-228	46
TPD52L1	42.727192	2.2658646	4.797084332478659e-229	7.323577860521925e-228	46
AC090498.1	42.686966	5.691953	1.4233564639238908e-227	2.1582639763323337e-226	46
RUVBL2	42.682194	2.4182174	1.685747343559744e-228	2.565410691939082e-227	46
OS9	42.637184	2.1709914	1.8488709408626015e-228	2.812380055667688e-227	46
RPL7L1	42.512543	1.9243145	5.858606148151124e-228	8.895586637172334e-227	46
MRPS35	42.482887	2.334047	3.166730942603017e-227	4.790948242934046e-226	46
SLC38A1	42.40477	1.9512542	1.8436659191777981e-227	2.7943243829707422e-226	46
